algorithm,run,initial_best_fitness,initial_avg_fitness,total_crossover_count,guided_crossover_count,total_mutation_count,guided_mutation_count,bad_position_detect_count,connect_query_count,obb_query_count,mayinterfere_query_count,resource_query_count,repair_count,repair_changed_count,guided_accept_count,guided_reject_count,prescreen_count,prescreen_reject_count,direct_guide_attempt_count,direct_guide_accept_count,direct_guide_illegal_reject_count,connect_candidate_count,obb_fallback_count,constraint_mutation_attempt_count,constraint_mutation_accept_count,constraint_mutation_shift_count,constraint_mutation_reject_count,no_repair_crossover_retry_count,no_repair_illegal_child_count,no_repair_valid_child_count,no_repair_local_reject_count,geometry_valid_initial_count,geometry_invalid_initial_count,geometry_valid_child_count,geometry_invalid_child_count,geometry_valid_neighbor_count,geometry_invalid_neighbor_count
KG-IGA-no-connect,13,495.898178,671.338286,0,0,0,3735,0,0,2127,0,0,5659,2649,287,2492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,13,495.898178,671.338286,0,0,0,3735,0,0,2127,0,0,5659,2649,287,2492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
GA-no-connect,14,481.092619,662.599918,0,0,0,0,0,0,0,0,0,2880,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,14,481.092619,662.599918,0,0,0,3761,0,0,2185,0,0,5704,2710,306,2518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,14,481.092619,662.599918,0,0,0,3761,0,0,2185,0,0,5704,2710,306,2518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
GA-no-connect,15,485.318799,661.601389,0,0,0,0,0,0,0,0,0,2880,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,15,485.318799,661.601389,0,0,0,3725,0,0,2167,0,0,5668,2508,271,2517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,15,485.318799,661.601389,0,0,0,3725,0,0,2167,0,0,5668,2508,271,2517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
GA-no-connect,16,364.443316,627.279092,0,0,0,0,0,0,0,0,0,2880,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,16,364.443316,627.279092,0,0,0,3692,0,0,2072,0,0,5557,2528,306,2371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,16,364.443316,627.279092,0,0,0,3692,0,0,2072,0,0,5557,2528,306,2371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
GA-no-connect,17,354.598656,656.571495,0,0,0,0,0,0,0,0,0,2880,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,17,354.598656,656.571495,0,0,0,3733,0,0,2185,0,0,5728,2673,404,2444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,17,354.598656,656.571495,0,0,0,3733,0,0,2185,0,0,5728,2673,404,2444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
GA-no-connect,18,460.186548,640.508528,0,0,0,0,0,0,0,0,0,2880,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,18,460.186548,640.508528,0,0,0,3754,0,0,2195,0,0,5725,2725,353,2492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,18,460.186548,640.508528,0,0,0,3754,0,0,2195,0,0,5725,2725,353,2492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
GA-no-connect,19,484.611389,643.247622,0,0,0,0,0,0,0,0,0,2880,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,19,484.611389,643.247622,0,0,0,3831,0,0,2278,0,0,5785,2669,311,2594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,19,484.611389,643.247622,0,0,0,3831,0,0,2278,0,0,5785,2669,311,2594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
GA-no-connect,20,475.637638,669.458046,0,0,0,0,0,0,0,0,0,2880,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,20,475.637638,669.458046,0,0,0,3828,0,0,2242,0,0,5767,2774,366,2521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,20,475.637638,669.458046,0,0,0,3828,0,0,2242,0,0,5767,2774,366,2521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
